"id","title","url","type","publisher","category","version","description"
"epub-overview-33","EPUB 3 Overview (3.3)","https://www.w3.org/TR/epub-overview-33/","Note","PMWG","EPUB General","3.3","High-level overview of the EPUB 3.3 standard and its companion specifications."
"epub-a11y-explain-12","EPUB Accessibility 1.2 Explainer","https://www.w3.org/TR/epub-a11y-explain-12/","Draft Note","PMWG","A11y","1.2","Explainer document detailing accessibility principles and rationale for EPUB 1.2."
"epub-34","EPUB 3.4 Core Specification","https://www.w3.org/TR/epub-34/","Candidate Standard","PMWG","Authoring","3.4","Defines the core structural semantics, package document, manifest, and spine for EPUB 3.4 publications."
"epub-a11y-12","EPUB Accessibility 1.2","https://www.w3.org/TR/epub-a11y-12/","Candidate Standard","PMWG","A11y","1.2","Specifies accessibility conformance requirements for EPUB Publications."
"epub-a11y-tech-12","EPUB Accessibility Techniques 1.2","https://www.w3.org/TR/epub-a11y-tech-12/","Note","PMWG","A11y","1.2","Provides practical authoring guidance and techniques for meeting EPUB Accessibility 1.2 requirements."
"epub-rs-34","EPUB Reading Systems 3.4","https://www.w3.org/TR/epub-rs-34/","Candidate Standard","PMWG","Reading Systems","3.4","Conformance requirements and processing rules for reading systems conforming to EPUB 3.4."
"epub-ssv-11","EPUB Structural Semantics Vocabulary 1.1","https://www.w3.org/TR/epub-ssv-11/","Note","PMWG","EPUB General","1.1","Defines the structural semantics vocabulary used in epub:type attributes."
"epub-anno-10","EPUB Annotations 1.0","https://www.w3.org/TR/epub-anno-10/","Working Draft","PMWG","Annotations","1.0","Standard specification for representing user and publisher annotations in EPUB."
"epub-anno-vocab-10","EPUB Annotations Vocabulary 1.0","https://www.w3.org/TR/epub-anno-vocab-10/","Draft Note","PMWG","Annotations","1.0","Defines the terms and vocabulary for describing annotation properties and types."
"epub-fxl-a11y","EPUB Fixed Layout Accessibility","https://www.w3.org/TR/epub-fxl-a11y/","Note","PMWG","A11y","1.0","Techniques and guidelines for making fixed-layout EPUB publications accessible."
"epub-overview-34","EPUB 3.4 Overview","https://www.w3.org/TR/epub-overview-34/","Note","PMWG","EPUB General","3.4","Overview of changes and ecosystem features introduced in EPUB 3.4."
"epub-anno-ucr","EPUB Annotations Use Cases and Requirements","https://www.w3.org/TR/epub-anno-ucr/","Note","PMWG","Annotations","1.0","Describes real-world use cases, scenarios, and requirements for annotation interoperability in EPUB."
"epub-a11y-exemption","EPUB Accessibility Conformance and Exemptions","https://www.w3.org/TR/epub-a11y-exemption/","Note","PMWG","A11y","1.0","Guidelines regarding exemptions and edge cases for EPUB accessibility evaluation."
"epub-multi-rend-11","EPUB Multiple-Rendition Publications 1.1","https://www.w3.org/TR/epub-multi-rend-11/","Note","PMWG","EPUB General","1.1","Defines how to package and reference multiple renditions of the same work in a single container."
"epub-33","EPUB 3.3 Core Specification","https://www.w3.org/TR/epub-33/","Recommendation","PMWG","Authoring","3.3","Official W3C Recommendation defining the core structure, package document, manifest, spine, and navigation for EPUB 3.3."
"epub-tts-10","EPUB Text-to-Speech (TTS) 1.0","https://www.w3.org/TR/epub-tts-10/","Note","PMWG","Audio | Media","1.0","Defines pronunciation lexicons, SSML markup, and CSS speech properties for EPUB."
